Record_ID,Order_ID,Production_Date,Plant_Location,Machine_ID,Machine_Type,Machine_Age_Years,Shift,Operator_ID,Supervisor_Name,Product_Line,Raw_Material,Supplier_Name,Batch_Size,Planned_Quantity,Actual_Quantity_Produced,Defect_Count,Quality_Grade,Inspection_Passed,Downtime_Minutes,Cycle_Time_Sec,Temperature_C,Humidity_Pct,Vibration_mm_s,Energy_Consumption_kWh,Unit_Cost_USD,Scrap_Cost_USD,Labor_Hours,OEE_Percent,Last_Maintenance_Days_Ago,Maintenance_Status,Remarks,Yield_Percent,Defect_Rate_Percent
849,ORD-85403,2025-12-14,Plant E,MC-038,Welding Robot,13.1,Morning,OP0088,A. Iyer,Automotive Parts,Polycarbonate,Global Alloys,300,366,338,3,B,Yes,46.5,22.79,74.1,62.9,3.16,133.94,17.75,38.41,5.49,47.6,30,Overdue,unknown issue,92.35,0.89
850,ORD-45162,2026-02-28,Plant C,MC-039,Welding Robot,5.8,Night,OP0007,N. Fernandes,Packaging Unit,Copper,SteelCorp Ltd,200,635,582,20,B,No,18.4,53.46,47.9,67.6,2.18,63.21,17.39,295.55,7.94,66.2,39,OK,Routine check,91.65,3.44
851,ORD-60913,2025-12-21,Plant B,MC-016,CNC Mill,14.9,Morning,OP0003,L. D'Souza,Electronics Housing,ABS Plastic,MetalWorks Pvt Ltd,100,535,514,8,C,Yes,10.6,26.59,52.8,37.8,2.78,97.14,12.9,61.28,9.47,52.6,11,OK,Routine check,96.07,1.56
852,ORD-14672,2026-07-26,Plant B,MC-023,CNC Lathe,14.9,Morning,OP0102,K. Verma,Aerospace Component,Steel,Global Alloys,150,647,628,17,A,Yes,37.0,60.18,71.9,38.5,2.53,100.32,33.44,461.01,8.59,40.5,79,OK,OK,97.06,2.71
853,ord6574,2026-03-27,Plant A,MC-036,Stamping Press,7.1,Unknown,OP0118,L. D'Souza,Consumer Plastics,Copper,SteelCorp Ltd,150,615,574,10,A+,Yes,9.1,53.56,74.6,54.6,1.72,141.51,19.22,120.95,8.7,89.1,38,Not Scheduled,Routine check,93.33,1.74
854,ORD-78134,2025-11-10,Plant A,MC-028,Press Brake,6.6,Morning,OP0013,R. Sharma,Medical Device Part,Steel,Global Alloys,100,486,487,14,B,Yes,43.2,49.73,77.2,19.6,1.8,12.18,4.77,42.38,5.22,97.5,36,Scheduled,OK,100.21,2.87
855,ORD-30164,2025-10-03,Plant A,MC-034,Conveyor Unit,4.1,Evening,OP0007,Unknown,Home Appliance Component,Steel,Unknown,250,431,409,9,Reject,Yes,35.7,42.59,67.5,34.2,3.6,176.53,27.36,172.6,8.79,79.7,73,Not Scheduled,Line stopped briefly,94.9,2.2
856,ORD-68776,2026-06-05,Plant B,MC-004,Injection Molder,0.4,Night,OP0021,Unknown,Home Appliance Component,ABS Plastic,Global Alloys,250,604,560,12,C,Yes,4.3,30.24,69.7,58.7,0.88,121.21,28.14,203.48,8.59,44.6,27,Overdue,No Remarks,92.72,2.14
857,ORD-58631,2025-12-03,Plant A,MC-005,CNC Mill,5.5,Morning,OP0013,Unknown,Consumer Plastics,Steel,SteelCorp Ltd,300,553,568,15,B,Not Recorded,4.2,52.75,47.9,63.3,0.68,125.91,25.83,203.77,10.89,69.6,46,Due,Power fluctuation,102.71,2.64
858,ORD-68886,2026-03-20,Plant A,MC-039,Laser Cutter,2.7,Night,OP0053,N. Fernandes,Automotive Parts,Steel,Poly Materials Inc,250,578,533,16,Not Graded,Not Recorded,4.8,25.94,51.1,47.2,1.52,59.48,6.12,95.71,9.05,77.7,39,OK,unknown issue,92.21,3.0
859,ORD-53746,2025-12-30,Plant D,MC-010,Assembly Line,13.1,Night,OP0120,N. Fernandes,Home Appliance Component,Steel,Poly Materials Inc,300,362,324,4,B,Yes,11.3,47.73,56.5,34.1,4.22,96.97,17.48,51.51,6.57,96.9,44,OK,unknown issue,89.5,1.23
860,ORD-26267,2026-04-03,Plant B,MC-005,Press Brake,13.7,Night,OP0097,R. Sharma,Consumer Plastics,Polycarbonate,MetalWorks Pvt Ltd,150,462,410,6,B,Yes,33.7,48.18,64.9,36.5,1.86,91.41,25.15,136.6,9.35,91.2,47,Due,unknown issue,88.74,1.46
861,ORD-80143,2025-10-26,Plant A,MC-015,CNC Lathe,14.4,Evening,OP0099,S. Kumar,Aerospace Component,Unknown,SteelCorp Ltd,300,555,610,10,C,No,32.4,68.36,65.7,65.7,2.23,96.17,11.04,70.95,6.62,71.1,43,Not Scheduled,unknown issue,109.91,1.64
862,ORD-55718,2025-11-01,Unknown,MC-036,Assembly Line,6.2,Night,OP0023,L. D'Souza,Packaging Unit,Unknown,Global Alloys,250,646,684,14,Reject,Yes,51.5,24.78,70.8,45.0,2.64,92.97,31.93,290.03,7.17,97.5,71,Due,Power fluctuation,105.88,2.05
863,ORD-56593,2026-07-26,Plant D,MC-013,Press Brake,13.6,Morning,OP0013,Unknown,Electronics Housing,Copper,Precision Components Co,300,424,423,8,Reject,Not Recorded,33.3,31.25,63.8,52.2,3.24,113.25,19.84,87.87,7.47,85.3,23,Due,customer complaint logged,99.76,1.89
864,ORD-93139,2025-10-01,Plant B,MC-022,Welding Robot,2.4,Night,OP0115,R. Sharma,Medical Device Part,Copper,SteelCorp Ltd,300,389,331,4,A,Yes,35.6,45.21,80.0,58.7,3.97,171.13,21.31,80.71,9.28,70.4,25,Due,No Remarks,85.09,1.21
865,ORD-55504,2026-01-26,Plant A,MC-029,Injection Molder,5.9,Morning,OP0046,K. Verma,Automotive Parts,Cast Iron,Unknown,200,345,282,4,B,No,45.8,44.22,63.0,29.4,2.73,136.16,42.13,158.18,7.42,46.9,16,Not Scheduled,No Remarks,81.74,1.42
866,ORD-28519,2025-11-17,Plant E,MC-006,CNC Mill,12.2,Evening,OP0112,K. Verma,Packaging Unit,Steel,SteelCorp Ltd,250,478,445,10,C,Yes,9.0,56.17,72.4,56.5,1.05,91.81,23.91,161.34,7.53,88.2,24,Due,Routine check,93.1,2.25
867,ORD-80574,2026-06-07,Plant B,MC-037,CNC Lathe,2.6,Night,OP0033,L. D'Souza,Automotive Parts,Cast Iron,SteelCorp Ltd,100,646,587,7,Reject,Yes,30.5,48.24,50.8,44.2,0.32,189.55,40.85,266.99,6.49,59.9,33,Due,OK,90.87,1.19
868,ORD-55239,2026-03-14,Plant A,MC-007,Press Brake,9.9,Morning,OP0099,Unknown,Automotive Parts,Copper,SteelCorp Ltd,300,601,531,9,A,Yes,4.8,41.27,69.4,21.3,3.86,134.5,22.64,141.28,10.63,64.0,5,Due,Power fluctuation,88.35,1.69
869,ORD-26197,2026-01-01,Plant A,MC-004,Assembly Line,7.6,Morning,OP0115,N. Fernandes,Metal Bracket,Copper,Global Alloys,50,420,360,9,B,Yes,19.3,19.57,74.0,70.5,1.28,76.75,40.24,294.02,4.53,76.7,66,OK,Material shortage,85.71,2.5
870,ORD-40091,2026-08-12,Plant B,MC-031,Injection Molder,5.5,Unknown,OP0033,S. Kumar,Electronics Housing,Polycarbonate,Poly Materials Inc,200,456,373,8,B,Yes,549.1,36.17,60.5,35.3,1.25,130.03,24.37,118.01,7.29,77.5,49,Overdue,Power fluctuation,81.8,2.14
871,ORD-49774,2025-11-01,Plant E,MC-007,Laser Cutter,12.1,Evening,OP0070,M. Naidu,Electronics Housing,Aluminum,SteelCorp Ltd,200,324,315,5,Reject,Yes,24.0,23.16,77.6,36.5,1.85,140.92,42.38,180.69,7.94,69.6,32,Not Scheduled,No Remarks,97.22,1.59
872,ORD-11303,2026-05-01,Plant B,MC-031,Assembly Line,11.4,Morning,OP0097,M. Naidu,Consumer Plastics,Copper,Global Alloys,300,593,505,14,C,Not Recorded,21.5,57.28,66.2,32.6,2.75,90.57,37.12,393.96,6.54,94.3,30,Not Scheduled,Power fluctuation,85.16,2.77
873,ORD-29122,2026-05-12,Plant D,MC-010,Press Brake,13.3,Morning,OP0102,Unknown,Home Appliance Component,Unknown,SteelCorp Ltd,100,534,462,11,A+,Yes,20.9,52.21,77.1,37.2,0.6,118.69,14.85,154.97,6.45,69.0,61,Due,Material shortage,86.52,2.38
874,ORD-20673,2026-08-12,Plant A,MC-037,Press Brake,10.4,Night,OP0044,S. Kumar,Packaging Unit,Steel,SteelCorp Ltd,50,424,361,5,A+,No,1.5,38.82,63.9,49.1,2.69,13.44,4.4,13.59,8.74,57.2,58,OK,No Remarks,85.14,1.39
875,ORD-18200,2025-11-28,Plant E,MC-007,Injection Molder,2.8,Morning,OP0021,K. Verma,Medical Device Part,Cast Iron,Precision Components Co,250,716,685,11,A,Yes,10.9,60.67,67.2,18.1,1.45,154.74,6.78,54.05,8.82,53.9,51,Not Scheduled,Routine check,95.67,1.61
876,ORD-27607,2026-06-06,Plant E,MC-035,Assembly Line,3.4,Morning,OP0013,P. Rao,Metal Bracket,Steel,Global Alloys,50,338,358,6,B,Yes,18.3,53.06,37.0,31.0,3.94,112.24,16.66,75.06,8.14,50.5,31,Not Scheduled,Line stopped briefly,105.92,1.68
877,ORD-30996,2025-11-09,Plant C,MC-007,CNC Mill,3.0,Morning,OP0093,M. Naidu,Automotive Parts,Cast Iron,Poly Materials Inc,100,572,516,11,A,No,15.6,54.84,63.7,56.1,3.26,163.87,6.52,52.37,6.6,73.9,9,OK,No Remarks,90.21,2.13
878,ORD-12974,2026-06-02,Plant B,MC-021,CNC Lathe,9.5,Evening,OP0078,R. Sharma,Home Appliance Component,Copper,Global Alloys,150,664,633,11,A+,No,1.7,54.19,70.7,43.2,1.15,104.76,26.39,250.85,4.61,74.9,40,Not Scheduled,unknown issue,95.33,1.74
879,ORD-39949,2026-06-03,Plant D,MC-007,Laser Cutter,12.5,Night,OP0019,A. Iyer,Electronics Housing,Polycarbonate,Poly Materials Inc,200,758,745,12,Reject,No,17.2,46.21,53.3,51.6,4.71,145.12,28.02,311.49,9.47,78.6,36,Not Scheduled,Routine check,98.28,1.61
880,ORD-97080,2025-12-16,Plant C,MC-039,Stamping Press,0.8,Morning,OP0007,N. Fernandes,Industrial Fastener,Cast Iron,Precision Components Co,300,423,427,3,B,No,76.8,39.05,77.2,31.9,2.58,136.76,12.79,24.77,7.93,100.0,5,Due,OK,100.95,0.7
881,ORD-76648,2025-12-20,Plant C,MC-030,3D Printer,1.8,Morning,OP0013,M. Naidu,Consumer Plastics,Polycarbonate,Global Alloys,150,483,482,12,B,Not Recorded,9.8,47.74,71.8,38.5,2.95,136.7,33.15,248.88,7.34,86.7,42,Not Scheduled,No Remarks,99.79,2.49
882,ORD-59331,2025-10-06,Plant A,MC-022,3D Printer,7.3,Morning,OP0021,M. Naidu,Industrial Fastener,Steel,MetalWorks Pvt Ltd,200,405,398,8,Reject,Not Recorded,49.3,63.81,62.1,25.7,0.69,104.37,21.62,99.46,7.38,64.5,0,Due,No Remarks,98.27,2.01
883,ORD-44407,2026-05-13,Plant A,MC-013,Laser Cutter,9.5,Night,OP0050,M. Naidu,Packaging Unit,Copper,SteelCorp Ltd,100,642,666,17,B,Not Recorded,26.1,52.46,60.1,66.8,3.3,153.34,7.65,95.34,10.11,72.4,23,Not Scheduled,Material shortage,103.74,2.55
884,ORD-30059,2026-02-13,Plant D,MC-009,Press Brake,6.1,Evening,OP0063,A. Iyer,Packaging Unit,Steel,Poly Materials Inc,200,760,744,24,Reject,Yes,18.7,56.97,62.3,47.2,2.4,83.36,40.0,859.79,10.11,96.4,35,OK,Material shortage,97.89,3.23
885,ORD-40284,2026-04-10,Plant B,MC-033,Stamping Press,6.7,Night,OP0107,M. Naidu,Consumer Plastics,Aluminum,Unknown,150,455,423,14,Not Graded,Yes,10.4,31.65,76.5,35.6,1.46,130.48,35.62,319.34,5.35,93.4,52,OK,No Remarks,92.97,3.31
886,ORD-14877,2025-11-16,Plant C,MC-035,CNC Mill,11.3,Night,OP0106,K. Verma,Consumer Plastics,Copper,SteelCorp Ltd,150,470,426,8,Not Graded,No,5.0,43.03,68.0,46.9,1.22,125.23,11.22,65.72,7.78,51.1,34,OK,Line stopped briefly,90.64,1.88
887,ORD-61199,2025-12-22,Plant A,MC-039,CNC Mill,5.1,Morning,OP0086,R. Sharma,Packaging Unit,ABS Plastic,Global Alloys,300,647,592,9,Not Graded,Yes,7.6,41.39,76.2,37.0,2.67,109.31,20.77,152.8,8.64,56.7,3,Scheduled,unknown issue,91.5,1.52
888,ORD-92470,2026-09-03,Plant A,MC-027,CNC Mill,14.1,Morning,OP0106,K. Verma,Home Appliance Component,Unknown,Unknown,150,455,480,13,A,Yes,27.9,52.55,63.4,55.0,3.29,96.59,12.81,115.8,10.02,70.5,42,Not Scheduled,Power fluctuation,105.49,2.71
889,ORD-41850,2026-01-11,Plant E,MC-024,Laser Cutter,0.7,Night,OP0044,R. Sharma,Industrial Fastener,Copper,MetalWorks Pvt Ltd,200,554,507,8,A,Yes,8.6,61.85,67.8,24.9,0.71,85.26,4.69,23.98,11.69,56.2,31,Due,OK,91.52,1.58
890,ORD-36177,2026-01-31,Plant C,MC-022,Injection Molder,14.3,Morning,OP0101,P. Rao,Aerospace Component,Copper,SteelCorp Ltd,150,798,818,23,Not Graded,Yes,9.9,31.47,79.8,57.1,1.79,129.59,33.74,574.26,9.35,44.2,40,Not Scheduled,OK,102.51,2.81
891,ORD-64460,2026-06-26,Plant A,MC-001,CNC Mill,14.5,Unknown,OP0068,S. Kumar,Metal Bracket,Steel,SteelCorp Ltd,50,666,593,20,Not Graded,Yes,33.2,49.39,68.3,26.4,2.89,138.56,20.63,302.84,6.17,59.4,39,Overdue,Power fluctuation,89.04,3.37
892,ORD-56525,2026-07-11,Plant E,MC-009,CNC Lathe,4.6,Morning,OP0017,Unknown,Home Appliance Component,Aluminum,Precision Components Co,200,596,652,12,Reject,Not Recorded,23.6,59.92,61.0,37.2,1.7,46.34,44.05,420.63,8.08,46.3,1,Overdue,No Remarks,109.4,1.84
893,ORD-45896,2026-07-30,Plant A,MC-039,Stamping Press,5.2,Morning,OP0029,Unknown,Electronics Housing,Aluminum,SteelCorp Ltd,250,426,390,4,A+,No,49.0,57.76,73.5,27.3,1.64,188.16,20.64,43.71,8.09,62.7,35,OK,No Remarks,91.55,1.03
894,ORD-93379,2025-10-07,Plant B,MC-031,CNC Mill,11.0,Morning,OP0076,L. D'Souza,Aerospace Component,Steel,Precision Components Co,200,383,346,8,B,Yes,49.2,48.76,60.0,45.7,4.46,167.17,30.7,244.45,9.11,52.5,49,Not Scheduled,OK,90.34,2.31
895,ORD-75374,2025-10-28,Plant A,MC-031,Stamping Press,10.0,Evening,OP0016,Unknown,Home Appliance Component,Steel,Unknown,200,576,526,4,A,Not Recorded,23.1,31.23,68.8,9.1,1.86,62.93,27.06,68.35,9.22,92.5,50,OK,No Remarks,91.32,0.76
896,ORD-15234,2026-07-18,Plant D,MC-004,3D Printer,4.8,Night,OP0050,K. Verma,Electronics Housing,ABS Plastic,SteelCorp Ltd,300,540,477,5,C,Not Recorded,2.9,37.4,92.5,52.3,3.03,92.86,21.04,66.72,8.91,85.8,35,Due,unknown issue,88.33,1.05
897,ORD-75663,2026-04-25,Plant C,MC-024,Assembly Line,2.8,Morning,OP0117,R. Sharma,Industrial Fastener,Cast Iron,SteelCorp Ltd,250,252,241,5,A+,Yes,15.6,51.9,72.8,15.4,1.24,160.35,32.79,157.23,9.36,91.2,74,Due,No Remarks,95.63,2.07
898,ORD-87432,2025-10-24,Plant B,MC-020,Press Brake,13.9,Night,OP0092,Unknown,Aerospace Component,Unknown,Global Alloys,100,576,527,8,A+,Not Recorded,36.4,55.83,66.1,54.2,1.75,166.46,8.16,55.83,8.75,85.9,45,Due,Line stopped briefly,91.49,1.52
899,ORD-10211,2026-08-24,Plant B,MC-031,Press Brake,11.6,Evening,OP0041,N. Fernandes,Home Appliance Component,Unknown,Global Alloys,300,588,561,10,A,Yes,14.0,39.03,59.4,57.8,0.16,113.05,18.6,144.83,7.53,42.4,33,Overdue,Material shortage,95.41,1.78
900,ORD-82291,2026-08-04,Plant C,MC-014,3D Printer,6.7,Morning,OP0013,R. Sharma,Consumer Plastics,Copper,Global Alloys,300,700,604,10,B,Yes,5.6,62.21,70.7,36.3,2.27,117.85,35.12,346.47,6.92,67.6,75,Due,Material shortage,86.29,1.66
901,ORD-77043,2026-03-19,Plant A,MC-006,Stamping Press,11.7,Night,OP0057,A. Iyer,Consumer Plastics,Cast Iron,MetalWorks Pvt Ltd,150,569,468,11,B,Yes,22.9,51.72,72.8,51.3,1.63,95.59,22.95,131.35,8.05,79.3,44,OK,Material shortage,82.25,2.35
902,ORD-71300,2026-04-24,Plant B,MC-018,Stamping Press,0.3,Evening,OP0084,P. Rao,Home Appliance Component,Steel,MetalWorks Pvt Ltd,250,442,430,6,B,Yes,24.0,33.18,72.1,47.0,2.28,133.63,23.72,139.96,4.65,75.0,35,Due,customer complaint logged,97.29,1.4
903,ORD-77084,2026-06-18,Plant B,MC-011,Stamping Press,7.0,Morning,OP0020,Unknown,Electronics Housing,Cast Iron,Precision Components Co,200,701,714,7,A,No,12.4,47.36,81.7,33.0,3.12,88.92,11.16,62.75,9.07,88.2,18,Due,Routine check,101.85,0.98
904,ORD-58532,2026-02-11,Plant C,MC-029,Welding Robot,2.6,Evening,OP0112,K. Verma,Medical Device Part,Cast Iron,Global Alloys,50,584,466,3,A,Yes,20.6,29.44,75.3,34.5,1.77,131.57,20.97,31.49,9.33,52.8,21,OK,Late shift start,79.71,0.64
905,ORD-12628,2025-12-29,Plant A,MC-029,Laser Cutter,13.8,Evening,OP0062,Unknown,Medical Device Part,Steel,SteelCorp Ltd,300,345,314,9,A+,Yes,20.7,37.31,63.3,43.1,1.16,106.11,29.11,142.23,7.47,70.3,19,Due,Routine check,91.01,2.87
906,ORD-39771,2026-01-09,Plant C,MC-037,Welding Robot,6.5,Morning,OP0112,P. Rao,Automotive Parts,Copper,Global Alloys,250,419,430,9,A+,Yes,35.0,42.17,67.8,40.1,1.89,143.48,9.67,74.24,11.59,41.1,1,Overdue,No Remarks,102.63,2.09
907,ORD-33853,2026-03-07,Plant D,MC-006,CNC Mill,5.3,Morning,OP0035,N. Fernandes,Metal Bracket,Polycarbonate,Precision Components Co,250,441,460,3,A,No,9.3,43.3,69.2,53.7,2.93,129.06,10.44,27.14,8.17,88.2,19,Overdue,Material shortage,104.31,0.65
908,ORD-64533,2026-06-12,Plant B,MC-037,Injection Molder,5.8,Morning,OP0066,L. D'Souza,Electronics Housing,Polycarbonate,Poly Materials Inc,200,635,622,13,A,Yes,5.9,36.84,69.9,50.6,1.6,190.53,21.83,193.57,8.22,66.4,4,Not Scheduled,Late shift start,97.95,2.09
909,ORD-87120,2026-01-18,Unknown,MC-025,Conveyor Unit,3.9,Evening,OP0047,P. Rao,Metal Bracket,Steel,Precision Components Co,200,631,560,6,A+,No,31.9,44.59,78.7,29.6,0.66,129.78,12.02,41.74,6.58,52.9,23,OK,OK,88.75,1.07
910,ORD-60930,2026-06-20,Plant B,MC-008,CNC Lathe,14.0,Morning,OP0073,P. Rao,Industrial Fastener,Polycarbonate,MetalWorks Pvt Ltd,300,505,497,6,Reject,Yes,19.3,45.55,80.0,43.2,0.36,244.04,15.09,59.3,8.44,71.6,35,Not Scheduled,No Remarks,98.42,1.21
911,ORD-86528,2026-07-10,Unknown,MC-034,Welding Robot,9.5,Morning,OP0063,N. Fernandes,Consumer Plastics,Cast Iron,SteelCorp Ltd,100,468,424,7,B,No,45.7,19.47,68.8,41.3,3.66,154.34,18.95,68.02,4.86,80.6,39,Not Scheduled,No Remarks,90.6,1.65
912,ORD-12766,2025-10-25,Plant C,MC-020,Welding Robot,11.6,Morning,OP0070,A. Iyer,Metal Bracket,Aluminum,Global Alloys,250,419,365,9,A,Yes,32.0,54.9,58.1,47.9,1.3,153.99,11.53,55.65,9.22,47.6,2,Due,No Remarks,87.11,2.47
913,ORD-93986,2026-06-11,Plant B,MC-021,Press Brake,12.2,Evening,OP0035,Unknown,Packaging Unit,Steel,Global Alloys,200,728,704,16,A+,Not Recorded,9.4,53.15,66.9,40.0,0.68,142.85,17.36,277.68,8.1,83.4,74,OK,unknown issue,96.7,2.27
914,ORD-46318,2026-08-21,Plant B,MC-032,Assembly Line,2.2,Night,OP0059,Unknown,Consumer Plastics,ABS Plastic,Global Alloys,250,599,574,16,B,No,63.1,33.56,77.7,44.0,1.93,66.22,17.95,277.74,7.42,61.7,0,Due,No Remarks,95.83,2.79
915,ORD-80119,2026-05-12,Plant B,MC-025,3D Printer,4.0,Morning,OP0103,Unknown,Industrial Fastener,Polycarbonate,Global Alloys,50,521,504,4,B,Yes,39.6,58.73,71.6,50.1,0.07,168.29,20.06,68.22,6.82,79.2,22,Not Scheduled,Material shortage,96.74,0.79
916,ORD-45884,2026-07-21,Plant B,MC-036,Stamping Press,8.6,Evening,OP0041,Unknown,Medical Device Part,Steel,Poly Materials Inc,300,502,405,4,B,Yes,9.7,77.51,73.9,42.5,2.68,49.33,16.83,64.52,11.78,92.7,21,Due,Line stopped briefly,80.68,0.99
917,ORD-36462,2025-10-26,Plant A,MC-008,CNC Mill,9.4,Morning,OP0006,Unknown,Electronics Housing,ABS Plastic,SteelCorp Ltd,200,405,377,11,B,Yes,42.6,41.92,65.9,40.1,1.4,130.32,12.43,75.15,7.12,77.1,59,OK,Material shortage,93.09,2.92
918,ORD-30191,2026-02-09,Plant E,MC-036,Press Brake,7.2,Morning,OP0020,A. Iyer,Industrial Fastener,Aluminum,Global Alloys,200,477,456,8,A+,Yes,29.3,61.69,72.2,46.2,0.82,138.09,3.13,22.22,8.09,47.5,25,Not Scheduled,customer complaint logged,95.6,1.75
919,ORD-49048,2026-02-01,Plant C,MC-010,3D Printer,7.8,Evening,OP0056,R. Sharma,Consumer Plastics,Cast Iron,Precision Components Co,200,515,420,9,A,Yes,33.0,43.08,62.7,19.8,1.99,158.38,13.77,121.93,9.08,41.0,42,OK,unknown issue,81.55,2.14
920,ORD-65377,2026-02-10,Plant C,MC-030,Stamping Press,5.1,Evening,OP0069,N. Fernandes,Consumer Plastics,Polycarbonate,MetalWorks Pvt Ltd,300,392,363,8,A+,Not Recorded,19.6,45.35,77.8,55.5,1.11,104.26,39.32,173.0,6.94,83.3,63,Scheduled,No Remarks,92.6,2.2
921,ORD-98846,2026-01-10,Plant C,MC-014,Conveyor Unit,3.4,Night,OP0015,L. D'Souza,Packaging Unit,Cast Iron,MetalWorks Pvt Ltd,250,272,266,3,A,Not Recorded,6.7,20.89,66.3,46.9,1.93,140.13,9.99,29.24,6.31,75.2,7,Due,Routine check,97.79,1.13
922,ORD-13918,2026-08-18,Plant B,MC-035,Laser Cutter,11.5,Morning,OP0092,S. Kumar,Packaging Unit,Steel,Poly Materials Inc,300,323,273,7,A,Yes,4.5,71.54,76.2,46.8,2.21,130.14,21.45,89.06,10.44,57.9,18,Not Scheduled,No Remarks,84.52,2.56
923,ORD-90082,2026-02-08,Plant C,MC-012,Injection Molder,14.5,Evening,OP0009,L. D'Souza,Metal Bracket,Polycarbonate,Global Alloys,300,539,578,10,A,Yes,33.1,34.78,61.6,49.6,3.41,151.8,41.39,241.04,7.73,55.0,22,Due,Routine check,107.24,1.73
924,ORD-15946,2026-03-19,Plant A,MC-014,Press Brake,4.0,Morning,OP0019,M. Naidu,Packaging Unit,Cast Iron,Global Alloys,200,364,345,2,A,Yes,11.8,52.31,65.0,52.4,0.65,96.72,39.03,62.55,7.36,79.9,24,Not Scheduled,customer complaint logged,94.78,0.58
925,ORD-10973,2026-07-25,Plant C,MC-016,CNC Lathe,5.3,Night,OP0034,L. D'Souza,Aerospace Component,Steel,Poly Materials Inc,150,383,364,10,B,No,25.7,37.15,69.0,58.3,0.88,73.47,28.38,187.5,6.84,92.2,1,Overdue,OK,95.04,2.75
926,ORD-51182,2026-04-29,Plant C,MC-023,CNC Lathe,9.5,Morning,OP0106,L. D'Souza,Aerospace Component,Steel,Precision Components Co,150,638,603,10,C,Yes,15.1,42.66,79.5,47.6,3.21,120.33,38.85,232.18,8.31,79.2,24,Due,Material shortage,94.51,1.66
927,ORD-64720,2026-01-20,Plant B,MC-039,Press Brake,5.6,Unknown,OP0065,M. Naidu,Automotive Parts,Copper,Poly Materials Inc,150,482,423,7,A,Yes,36.2,70.58,77.9,37.2,2.47,106.0,44.71,193.24,6.29,97.2,7,Not Scheduled,No Remarks,87.76,1.65
928,ORD-10931,2026-03-24,Plant B,MC-009,Welding Robot,2.7,Morning,OP0098,A. Iyer,Medical Device Part,ABS Plastic,Precision Components Co,300,843,737,18,B,Yes,12.6,36.89,73.3,53.9,0.29,140.36,21.41,255.84,9.2,74.5,20,Not Scheduled,unknown issue,87.43,2.44
929,ORD-18779,2026-07-17,Plant A,MC-015,Welding Robot,1.4,Morning,OP0077,L. D'Souza,Electronics Housing,Aluminum,SteelCorp Ltd,250,422,381,11,B,Yes,42.2,56.33,69.4,68.7,2.79,166.27,35.46,197.13,9.54,47.2,53,Scheduled,No Remarks,90.28,2.89
930,ORD-66387,2026-01-17,Plant E,MC-005,Assembly Line,8.0,Morning,OP0049,M. Naidu,Medical Device Part,Cast Iron,Poly Materials Inc,50,675,698,17,B,No,38.6,58.71,87.5,58.2,0.68,131.29,10.23,140.75,9.23,58.8,16,OK,No Remarks,103.41,2.44
931,ORD-36864,2026-01-11,Plant C,MC-039,Conveyor Unit,12.1,Morning,OP0114,N. Fernandes,Aerospace Component,Steel,Global Alloys,200,472,469,8,Reject,Yes,28.0,57.56,68.4,38.7,1.02,111.79,37.45,161.22,8.4,52.6,34,Scheduled,customer complaint logged,99.36,1.71
932,ORD-85088,2026-02-09,Plant C,MC-022,Welding Robot,11.9,Morning,OP0082,M. Naidu,Home Appliance Component,Unknown,Precision Components Co,50,546,616,18,Reject,Yes,17.0,43.81,76.3,41.5,2.45,118.8,19.63,244.44,7.65,50.1,17,Due,No Remarks,112.82,2.92
933,ORD-51889,2026-04-22,Plant A,MC-016,CNC Mill,5.0,Morning,OP0072,A. Iyer,Medical Device Part,Polycarbonate,Global Alloys,300,548,479,11,Not Graded,No,13.9,48.83,71.4,44.0,3.15,76.4,43.72,349.16,8.52,66.3,18,OK,Line stopped briefly,87.41,2.3
934,ORD-88643,2026-07-20,Plant D,MC-033,Laser Cutter,1.8,Morning,OP0051,M. Naidu,Industrial Fastener,Copper,Precision Components Co,250,394,307,7,A,No,36.6,15.89,73.8,59.1,2.62,117.84,12.21,48.75,6.32,76.3,14,Scheduled,No Remarks,77.92,2.28
935,ORD-59828,2026-06-06,Plant B,MC-027,Press Brake,9.5,Morning,OP0036,A. Iyer,Home Appliance Component,Copper,SteelCorp Ltd,50,545,574,7,B,Yes,44.4,38.08,70.7,47.2,2.16,114.06,16.61,99.55,8.21,76.2,29,Not Scheduled,customer complaint logged,105.32,1.22
936,ORD-83783,2025-12-10,Plant B,MC-004,Welding Robot,11.5,Night,OP0081,Unknown,Consumer Plastics,Aluminum,SteelCorp Ltd,150,632,462,14,B,No,34.1,56.07,69.1,64.2,2.38,70.41,10.8,95.46,8.34,74.8,34,OK,No Remarks,73.1,3.03
937,ORD-77590,2025-11-28,Plant A,MC-040,CNC Lathe,8.5,Morning,OP0008,M. Naidu,Medical Device Part,Polycarbonate,SteelCorp Ltd,300,333,274,3,B,Yes,0.2,30.91,76.9,30.3,1.52,136.57,28.88,45.36,4.54,91.8,32,Not Scheduled,Power fluctuation,82.28,1.09
938,ORD-33393,2026-02-04,Plant C,MC-035,3D Printer,11.0,Morning,OP0004,P. Rao,Aerospace Component,Copper,Poly Materials Inc,150,481,385,8,Not Graded,Yes,18.1,32.52,73.6,38.6,5.4,140.97,43.01,257.92,7.27,68.9,47,Not Scheduled,Power fluctuation,80.04,2.08
